;target;text
20163;0;@moombaman I love web 2.0.  Its a web 2.0 way of finding a gardener, but it is SERIOUSLY flawed. Sadly sometimes experiments don't work 
20882;0;I am completely lost. It's 2:30 am, I'm somewhere in l.a., and have no idea how to get to Placentia from here. Google maps isn't working 
21171;0;Murrrr I'm rusty.  Had to put lots of my website stuff on hold during college. Trying to revamp my portfolio, tough work.
21250;0;Half of exam papers are missing.  Need to phone uni tomorrow. Can't get a job without them :S
21698;0;There's a rumor a girl at my work did a centerfold in FHM. Google has not helped with my searches.  ? http://blip.fm/~4krhd
21805;0;Sunshine across the Chase - lovely day for downloading several hundred work emails 
22345;0;Fighting my way through the email mountain and the stuff I need to get done before work tomorrow 
22581;0;Times 'Story in Data' yesterday - largest group of professionals claiming Jobseekers Allowance - software programmers - not bankers 
22751;0;@ir0nisland is there any social chats we can use tht dont hav flash i tried web messenger but didnt work  plus doin hmwk i go on pc l8er
23594;0;in work. In toilet while twittering! Hmm not good but not supposed to have phone on me  lol
23712;0;too much work. phone borked. very very upset.  don't really have any will anymore.
24956;0;Twitter API dead but website working nicely.. that sorta sucks 
25872;0;Its sad that my phone works better than my ipod... 
25932;0;"@dawniecahill things are alright, doing some more work today  sent you an emailll &lt;3 hope you're ok!!!"
26420;0;Geeze my phone is broketed!  Going to work at 1 :/
26701;0;gaaad i need my stubid phone to work already! bored withoutt it 
26754;0;wants her stupid Samsung Instinct's camera to work. 
27141;0;is at work because he didn't read an email E2E and there was an action item for him  ... I'll miss this sunny day 
27635;0;What a mess... are trying to change network cables for 4 computers and ip-phones.... need to make order under the desk 
27986;0;doing nothing todayy/. eeerruuhhhmm, iphone twitter still isnt working 
28175;0;Safari died on my phone!! How am k supposed to pass the time at work now!?  
28540;0;Pretty nifty way to work on a PC from a Mac http://www.gotomypc.com only problem is there is no cut and paste 
29016;0;Arrived bck frm vacation in Barbados - 14 nites-wot a bliss! Thought I'll check my work emails - the VPN don't work  Fun already started
29621;0;School  I'm too tired and I've got work to do for drama like making programmes which should have aready been done, oops 
30409;0;forgot the cell phone halfway across the world  time to crash and rest up for work tomorrow
30748;0;My internet isn't working and i don't know why. All i want to do is check my email before bed 
31794;0;@tariquesani Nokia BT headsets work like that. I always use Pooja's phone charger for it too. Baah! I lost my BT headset last week. 
32248;0;Right back to work, customers wait for noone.. just read the first email, and huh ? haven't got a clue.. not a goed start.. 
32404;0;I've been on the phone since I got up and now I have to go to my sister's. Looks like no work today either. 
32582;0;I have no interwebs at work. Twittering via phone all day costs too much 
33035;0;@Cabrissi starting the website i want to plus making it a print publication would be my IDEAL job! But no $$ in that really 
34650;0;My phone keeps turning off randomly... I'm scared its gonna stop working 
34728;0;@mizdiva86 yea so i tried this direct message thing on my phone via text, dont know if it worked or not. im sick now, can u bring it 
35329;0;msn dont work and now skype wont start  web messenger for now
35393;0;Im at moms job right now. So bored,she is working. Im using internet... Blah! I wanna eat.  we gonna go home after 15min. yayy. (:
35478;0;uploading websites and more work  
35717;0;Going to give the twitter client Blu ( http://tr.im/jeay) a try as soon as I get home. Need .net3.5 and work PC doesn't have it. 
35745;0;ugh i need my phone back!!!! not looking forward to work without it. 
36006;0;@lala_com please help!  no clue why, but lala has stopped working in both Chrome and Firefox, just gets stuck with 'loading...' screen. 
36467;0;@druschmidtperki Damn, I thought a new phone would help! Still can't get it to work as it should 
36578;0;@joshtastic1 Hiya Josh, very well thanks, enjoyed it through a window lol am working today  and everyone on the phone seems mardy and u?
36709;0;Using finalcrit.com as my web portfolio not working out so well. Uploads are grainy and the site is unreliable  Back to the drawing board.
36762;0;Back from manual labour, yes you read correctly. Back to emails and video-chatting with @benschauland however, my cam doesn't work. 
36785;0;Guess ill be twittering from my Blackberry ! Still no luck w/ d Pc frm work 
37062;0;I'm trying to figure out how i can get Vista to work with my XP hardware using Virtual PC.  No luck so far and not having very much fun 
38506;0;Headache. Hopefully not on PC for too long then out and about on job search 
38640;0;i love going to the apple store on my day off.. phone died on my way home from work.. have a genius bar appointment tomorrow at w14th 
39337;0;Ok. I may deserve this as my plan is now not coming together - my internet is buggered. God this is a crap pace to work 
39715;0;Wow... dont have twitter at work anymore...  so sad!!!!!  will have to use my phone now i thinks!! lol....
40893;0;http://twitpic.com/3ph5e - @carolynwebb Nice and Sunny :-D  Too much work though as well   Im back in UK on monday 
43650;0;attempting to get PCTV working on Vista Premium. The out of the box install failed. 
46592;0;@ChrisKennedy @patphelan still not able to get my maxoam sims to work on iphone and nokia 6280 
46692;0;still feeling sick  boo! need to fix the internet on the pc! my mac works but pc doesnt, which telss me pc's suck! lol xxx
46713;0;@traceofspades my phone is dead.  i left my charger at work on weds.  and i cant get it til tomorrow. call me on travis' tomorrow.
47413;0;"I'm back in the Nam...on this sunny day; shame Sacha is working and I have work to do...  and I miss my old phone...call me on my temp?"
47466;0;@frostyinleeds Meh, I'll probably be working all day. Got a website to build and an animation to... well, animate 
47814;0;just managed to catchup on personal emails for the week, next gmail, then workmail... 
48880;0;@ashleywebster86 went a bit gooey tho  No purchases, in work now tho
49207;0;wireless internet still broken  , using my @INQMobile as a modem, works incredibly well, much faster than I expected and a doddle to setup
49259;0;wireless internet still broken  , using my #INQMobile as a modem, works incredibly well, much faster than I expected and a doddle to setup
49723;0;I was just checking Google Analytics (which I obsessively do every morning) and saw that 5 people Googled alterna tickers not working? 
50469;0;@petwebdesigner My neighborhood has already started with fireworks!?Why? no idea. Dog is starting to go into the terrified hiding mode. 
50732;0;is sad that my email not working 
50748;0;so frustrated I can't get twitterberry to work on my phone.  
52023;0;@steelnpurple Firefox will never replace Opera. I need it for a research referencing extension that only works in this joke of a browser. 
52554;0;"i lost you guys' numbers  lemme know!!! cuz my new phone book is pretty much empty LOL ; break time over, back to work "
53092;0;@chriscynical i tried to get a pic of the water with my phone's cam but it didnt work 
53159;0;@natahshapriya text me after 7 pm estern  i'm at work and i can't turn my cell phone on or i might kill someone or something xD
53306;0;My phone's broken, only the keypad works 
54269;0;Wow, even after a few extra hrs of sleep, I still feel drunk. And my phone is still not working 
55229;0;@ohmymoses ugh, i'm craving for sweets  lolol, btw great job on the bermo tribute, i loooooove it. they need a series ASAP
55975;0;I hate my job  Anyone wanting design, web development or any other arty work please let me know so I can leave here.
56281;0;I hate my job  Anyone wanting design, web development or any other arty work please let me know so I can leave.. http://tinyurl.com/d6rmh2
56644;0;I hate my job  Anyone wanting design, web development or any other arty work please let me know so I can leave.. http://tinyurl.com/d4kb52
57203;0;Recording session wasa bomb. Computer stopped working. 
57597;0;in 4 hours modelcasting... my internet doesn't work anymore in my room, so I can't tweet the whole time..makes me sad 
58833;0;My email just so is not working   Going to tidy my scraproom later and check out all the awesome challenges on www.scrapinstyletv.com
59195;0;kinda bummed coz mum says she wont let me skip schoolwork on friday to watch the jb live facebook webcast  ill have to youtube it i guess
59591;0;bored of re-jigging old websites to work with my new php setup. time to start a new one from scratch 
60991;0;and it doesn't really work to listen to alexisonfire with only one earphone 
62043;0;@steffy92 we aren't gonna go anymore  I was gonna call you but my phone died. I have to work till 3
62289;0;just switched from Chrome Browser to Firefox.  Just to many sites that don't work with chrome. 
62310;0;Just dropped my brand new phone and now it won't work. Have to exchange it  so Pissed.
62387;0;Wishing I was at Lp instead of at work  watching from the web, though..
62726;0;@Alexandraxox I know right! its going to be september before we get jobs 
63214;0;@madeleineannie I replied to your email, maybe it didn't go through. I'm at uni all day. Not working till fri 
63907;0;@americanindie Oi - I'm so glad blip.fm works on my PC so I can actually hear the music. Darn site doesn't work on my laptop 
63958;0;@tyrustyhood DUDE...you have GOT to use your phone. I took my bike to work this morn and road at Davidson. thought about U before 
65503;0;hey guys sorry about last night. im truly truly sorry. i feel bad.  my phone isnt working thats why i havent text you guys back.
65964;0;"My life was so much better when my phone worked. ifg/lfjgsosd;of i hate not having one "
66611;0;is in rabbit fur at work, wish I could work at my manager's office. She likes it warm, programmer likes it cool 
66706;0;Excited about working on the new website, new music, and going on blogtv again!...after final exams this week 
66885;0;Can my internet work on my laptop now please??  this fucking sucks!!  Goddess of Death
66890;0;@GoddesofDeath SWORE!: Can my internet work on my laptop now please??  this fucking sucks!!  Goddess of Death
67387;0;@sceneaesthetic the number isn't working on neither of mine or my mom's phone 
67874;0;is getting angry cause every 5 mintues my internet decides to stop working and i have to restart it....and my back hurts 
68022;0;expecting a VERY important email. work work work on summer 
68034;0;looks like spammers were at work over the weekend   What do you use to weed out trash emails?
68673;0;Why doesn't the internet work?!  This is frustrating as hell. 
69861;0;@RapunzelMAP I'm unable to send you a license key until your Notes email is working, that's why we recommend getting Notes setup first. 
69911;0;"Why doesn't my college website work with f'ing safari or firefox ugh!  I need to sign up for my geol lab there is only 2 spots left ;|"
70806;0;forgot to back up my RSS feeds on my old work PC, damn - I miss my webcomics 
71075;0;have woken up with a random sore hand  feeling happier though will take a deep breath and read the email from my ex....when I get to work
71403;0;#teapix isn't working for me  I WANT TO SEE THE TEAMAGEDDON! Alas, I blame my internet connection.
71827;0;flagit crashes my mail app on Mac. Feels like working on a PC again. 
71840;0;Firefox has stopped working after installing Flock 
71944;0;Firefox not working in spite of uninstalling Flock 
72096;0;Off to see my nephew! Yay! Also, breakdown cover has come through for car so can now phone them and get them to make it work 
72235;0;Back in Dublin and off to work in Google hq even though it's a bank holiday 
72400;0;Pandora won't work on my phone...sad day 
72777;0;@TweetPhoto Neither of my photo posts worked: email nor direct from 'cputer. 
73127;0;@artytypes checked my work emails again, nothing arrived  Could you send again tomorrow and cc me at home?x
74551;0;TweetPhoto is nice, but the website widget it offers doesn't work all that well with wordpress......  otherwise I'd use it.
75063;0; boo hoo- trying to open my email, it's not working, grrrr!
75237;0;@tamsul i havent got email at the moment.. only work email. Malcolm broke my computer, so i just have my work laptop at the moment 
76869;0;Work is lame got my computer back but still no internet.  Come on ppls work with me here. 
77929;0;@EricHamm Just sent you an email! Sorry for the delay! and hey at least you can use Pandora.. It doesn't work in China 
79049;0;Neil hasn't called yet and his phone isn't working, getting worried 
79152;0;first the white screen of death,now the unresponsive black screen. home + wake buttons don't work, phone goes to auto vm..what the 
79183;0;so I split keratase conditoner all over my phone at work today  it won't work.
81305;0;So I bought a pair of Bose over the ear headphones, they work great!  An earpiece fell off though and Target wouldn't take them back!!  
83276;0;Turns out my host I use for WWJ wrecked their nameservers, so no-ones website are working anymore. 
83478;0;@longzheng We have some softphone software at work that doesn't work on x64 so I could use it in XP Mode but my proc no support hard-virt 
84190;0;Why people write business-critical emails on Saturday evening about what to do on Sunday? Weekend is about the family isn't it? 
84710;0;#WSBK live stream doesn't work in Firefox 
84790;0;@MistressVarla his email address isn't working  but im going to call him later i have his cell number.
85431;0;@adamrebel this whole phone hanger upper business is NOT the business. 
85645;0;whoops just ad phone call from ma dinner nearly ready had so forgotten and not time for it now  stupid work!
85745;0;@nataliefisher I guess the reply worked whatev whatev I am on my phone, sorry 
85912;0;i am pissed off my fucking internet  it doesnï¿½t work and i am going crazy
87380;0;happy mother's day internet! unfortunately, both my mom and I have to work today 
87424;0;@melissaox I tried a few of my passwords, none worked, stupid me, I sent a support email, using UT for now 
88334;0;About 6 tweets didn't go through this morning because text messaging on my MetroPCS phone is not working. Incoming only. Sending Failed 
89288;0;@maddiemcgills its not workingg  ill call you when i get home. i'm leaving in like 20-30 so ill call you and you can tell me the website
89611;0;The person sat behind me on the plane is wearing a face mask. The person sat to the right is a businessman on 2 mobile phones at once 
90151;0;Dear PC, please work 
91183;0;I'm working on a legacy program 20+ years old. Bad old programming. Lots'a bugs to fix and re-architecting to do.  But I WILL fix it SOON!
92590;0;@mindscapefilms haha!! true true, i still need my emails tho coz some of my work is there!! haha - its already nearly 2pm and no email 
92743;0;is back home and feels badly that a nice day w/ Melissa was ruined by work email EPIC FAIL.    She hopes sleep will make everything better.
92768;0;@AlexaNDYE Yup, didn't manage to dodge a 12 hour shift at work though 
94772;0;@arvindsharma My internet at home is not working properly.  you can email me if you want. Mostly today internet problem will be resolved.
94945;0;Still no interwebs    I wish I could have found an app that would work with my phone....
95017;0;Argh I have a assignment due tomorrow! I'm making a website but all this paperwork has to be done aswell! I'm waiting for habbo to load 
96818;0;@LRon_Jaii I'm back to work today hun  so I'll be emailing ur clart :-p I don't wanna go!! I'm late already, sod it
97543;0;On the way to work in webs car cloudy and wet 
97906;0;Up til 2am workin on the PC virus from hell.It blocked usb ports / anti virus and microsoft websites / safemode and updates! 
98001;0;Dear Call Centre Focus, I won't attend your webinar as I don't work in a call centre. Sending 4 emails doesn't convince me that I do  boo!
98148;0;No iPhone headphones means very boring walk to work! 
98427;0;Rupert my webmaster LOVES this site and the ad editor: http://www.selectanescort.com but the site doesn't work well in Firefox 
99789;0;@psycho_babble : Don't have sound on work pc  Must bring in headphones one of these days. Will check out at home
99791;0;stress mornign at work, somone broke the internets by typing google into google 
100230;0;Updating web pages = quick and easy. Doing it properly (ensuring all links work and formatting is correct) = slow and v boring. 
100579;0;Well I've lost my last job due to reductions  I am a young guy who just wants to do what he does best - programming...
100835;0;Saints website not working atm :@. going orthodentist tomorow :'(! looks like its soup for dinner then as it hurts to much to eat 
101472;0;@crooneybrowne will email when I have half a clue - probs not for a month yet. Totally slammed right now - uni, realwork, boat etc nuts 
101845;0;I really wished they hadn't dumped me back on the phones. I'd much rather be doing paperwork right now 
102097;0;phone calls, emails, demanding people, stress, a lot of work...my day. for some im just a robot that needs to work according to settings. 
102659;0;@GoogleAtWork Why is gmail not working? 
102745;0;surfing thw web from a hotel lobby spending one week away from home for a workshop... kinda sux 
103386;0;Upgraded my GrandCentral to Google Voice.  (Too bad I can't change my greeting.    That bit isn't working.)  Nice new Googley interface.
103526;0;Is it just me or is #google down at the moment? #gmail, Google Analytics, #gtalk etc not working here 
103686;0;@tonyfrazier I won't see 8.5 for another year at least (testing, managed upgrades, etc). REALLY wish I had work email on my phone. 
103733;0;aahh, no, Google apps still no worky.  And SugarStats is super slow, too.
103814;0;@s0m3f00l these internets work differently 4 me here. it has something to do w/CA software here. something fundamental just changed  2day 
104376;0;ahhhhh! my laptop is like dying and my charger isnt working. goodbye real interwebz in 10 minutes 
104701;0;Sad I missed fireworks.  Call next time @demize95. Stupid internet was down. 
104933;0;@Sterkworks Oh no, not sad at all.  We all enjoy different programming. Keeps the electric co. in biz! Neither are into scifi 
105271;0;twitter is not working properly on my phone  + I've just realised i've only got 3wks till my major assignments are due fuckkk
106481;0;did some web work today. I have a secret, though... I was lazy and decided to use tables instead of proper CSS for my layouts ... 
108538;0;my life right at this exact moment can s a d. i need my phone to be working...and to not be as gross feeling as i am 
110731;0;don't feel well at all, may need to phone in sick to work 
110808;0;try to restructure our website http://tinyurl.com/pedwso ï¿½ never ending work in progress, but now I got stuck 
111210;0;I've left my iPod and headphones at work. And I'm going to swindon for a week tomorrow. Crap crap crap 
111237;0;@gogcom did you get my email about my code  not working?  When I use it it says its already been redeemed.
111328;0;If the social web works on human skils,  http://tr.im/lzDY the #joomla code of conduct matters.  Balance of power to group, not outsiders 
111495;0;is at work staring at her phone cz she is bored and no one is texting her 
111950;0;heading to the everglades this weekend for some fishing and the [formerly] awesome tide app on my iphone hasn't worked since last update 
112380;0;Is at work and sad she left her phone at home  Talk to me...bored.
114362;0;In office and working after the marriage ceremony  need to head home and crash ASAP
114387;0;"rough morning start: a stupid email from coworker; power outrage in DMZ = &gt; all forces me to skip yoga class "
114744;0;My SKY+ HDD just died  shame theres no BackupExec for SKY. had to rebuild and lost all content. That USB port would be handy if it worked
115806;0;Work sucks and my phone won't work right 
116157;0;@anamariecox @webjerk there was buyblue.org, but it's not working 
117881;0;@PankakeMunky It still doesn't work on my phone. D: Too bad its so addictive. Why are you never on AIM anymore? 
119631;0;i'm frustrated that my phone updates don't work. already sent two now but none of them show up here!! what am i doing wrong?? 
120805;0;Ok, I've got a Gigaware VGA splitter on each PC, but the KVM switch doesn't seem to work... in switching between them on my HDTV... 
120834;0;mum cracked it at me for seeing how the internet worked on my hopefully temporary phone she's really grumpy today  it only cost 8c sheesh
121064;0;@futuredirected Hi Samantha, how's tricks?  I'm days behind in my planned endeavors.    email's in the works, though.
121512;0;i have a confession.....i didnt work on my website today uhoh 
122840;0;"10 more days in the internet slow lane is beginning to feel like torture; working after midnight is looking to be absolutely necessary "
122895;0;is over the slow internet at work 
122911;0;maybe not.. my internet isn't working right. this mostly happens at night.. another note for the computer checkup 
122994;0;@rizil the cross contamination programme worked .. t-man finally has the pox! only downside is that we were up all last night with him 
124311;0;lol, I'm working in 1280x1024 in VPC, but host is 1920x1200. When new mail arrives in outlook and I click popup, host is also 1280x1024?! 
124434;0;Two weeks away, back at work to 1590 unread emails  BTW - Koh Samui, go there, fantastic place
124755;0;Awww, missing my music library now. Wish I didn't have to deal with phone calls and customers at work 
124772;0;@IcarusWingz dude, was Si on wow yesterday? i havent seen him since we parted pissed on Sat, his phone isnt working and he isnt at work 
124868;0;@tiffanymarie_x3 pity that one only works on Android phones  But I got a Xperia X1 from Sony with WM 
125349;0;my phone won't let me tweet  i was going to stay in my room, do homework and tweet obsessively but i can't so i will here.
125640;0;Short.ie has no mobile interface, and relies on some sort of AJAX magicness that doesn't work in Opera on my phone 
125889;0;Or, I could even fix HTML/CSS borks and make sure that their website is always up to date and lookin' nice!  I just want a job.
126151;0;@karenthomas i'm staying safe and doing my homework! sampson is keeping me company. i miss axel  i still don't have internet in my room.
126380;0;some plugins (Web Developer, Delicious for example) do not work anymore after upgrading Firefox on Mac   Any suggestions?
127606;0;Not a happy bunny today twitter on my Blackberry won't work properly 
128079;0;have been managing web site at work - was too busy to Twitter 
128898;0;@cameronreilly diff. businesses. enterprise=more heads cf. web (goog) and consumer (aapl) . still, efficiency is the new mantra 
129111;0;Good morning on me way to work..so sleepy on da phone til late talkin to me girl rememberin dem good old days..da memories. Life changes 
129257;0;@shawnwrites Thanks Shawn. In the UK only Vodaphone is presently supported. It used to work for all telecom but they put the kibosh on it 
129272;0;Well, after spending a few hours trying to get this webcam to work with Windows 7, i now have a completely dead webcam. no more streaming 
129741;0;Hazens sick  working from home office. Call, email, skype if you need to contact me.
130587;0;@MatthewStClair I couldn't get pandora to work on my phone!  http://myloc.me/15JI
130959;0;The main router in  my home which connects to the internet has failed.  - Disconnected from the Home Network and Home Server.
131177;0;Upset that my phone is on its last bar dying on me... left my chargers 1 @ work n the other @ the condo 
132073;0;Dear Google News: I really, really need for you to work in the morning. Pretty please. You can crash all you want in the afternoon. 
132451;0; everybody that has my number and my BBM my phone is not working so will be getting a new phone on thursday.. THIS SUCKS, i love you yall
132534;0;Is upset that she can't get her phone working.. 
133189;0;TwitPic not working for me from the Blackberry 
133534;0;Worked too late yesterday... I messed up everything.  Made some horribly bad programming on Warbeast, and now nothing works.
133580;0;I would really enjoy it if my email would decide to work so I can check it. 
133824;0;back at work after 10 days of moving...  Still no Interwebs at the new house though, so my websites are still dark... 
133864;0;and right after my last tweet my phone decided to not work-weird error message and i apparently need to reinstall the software later 
133931;0;"I seem to spend half my life creating Aweber signup forms  And the other half working out what Aweber have changed to day ;-)"
133935;0;@kimbarwee YAYYYYYYYYY!  im sooooooo bored! work later and my phones got no battery!  xo
134474;0;@Kirstyy09xX ah I would but twitter doesn't work on my phone 
134520;0;@JackSavoretti The link in my email news doesn't work-leads to blank page. I'm  sad because I can't get to download 'Song for a friend' 
134680;0;"I miss andrea so much&lt;3333 it sucks he phone dosen't work anymore "
135201;0;@LesleaC BAH!!!! wish i could... at work  and the dumb'os in the IT dept crippled my PC to the bone, so i can't get on those fun stuffs xD
135257;0;Ugh, work computer seriously broken   Can't get the programs I use working (or Outlook, nach) but the internet is working :/
135595;0;@hannahmei i don't know whether this is going to work or not  bloody shaped internet! if it doesn't, I will still upload it, and just wont
136304;0;@jasondunstone The email address on your website doesn't work. 
136760;0;New boss cracked down on all non-work internet usage in the office, which means no Twitter during the day for me. 
137084;0;Morning. It's a working day for me. I've to catch up several hours of bugged programming 
137378;0;@thatpaigekid the email never worked  waa. also, did u buy shoes?
137461;0;Way to make sure you're awake.. see a 3 inch long creepy crawler on the work phone... EEEEE, and to know it's still around.... 
138759;0;Ok so in work, no phones allowed now  so have had to sneak around just to tweet, I think I shall start a hash tag. #ninjatweet
138934;0;Installed Boot Camp drivers for Apple Keyboard as I'm planning to buy one tomorrow...pity the control panel doesn't work 
139265;0;thought i had all my website working...but i dont  dammit!
139405;0;Uninstalling @twikini as it's no longer free and stopped working on my phone a few versions ago 
141961;0;the interweb doesn't work so well with a broken DNS somewhere between me and it.   
143942;0;Fucking VITAL ain't working...cant get any presentations off the internet to revise from 
144182;0; grrr my twitter doesn't work with my celphone, I dw WHY!!  but my brother's twitter does ï¿½.ï¿½  IT's not Fair..    T.T
144187;0;New post:  grrr my twitter doesn't work with my celphone, I dw WHY!!  but my brother's twi... (http://cli.gs/6b4mDb)
144872;0;elite models website is not working. whyyyy? 
145303;0;About to start my first day of work where I can't text or do anything on my phone - stupid nurses ruined it for me  !!!
146122;0;I think I'm the only tweeter w/ over 1000 followers who still tweets from the Twitter website.  Can't download Tweetdeck at work 
146330;0;working and then heading out cant get Twitter to work on my phone 
146562;0;Ok, there must be some serious problems if internet is down and all comcast #s don't work 
146664;0;work sent me home, because I am still really sick.   Working on web stuff all day.
146689;0;ironing my clothes and listen web radio ShoutedFm...the best black music radio from germany!!! In an hour I must go to work 
146994;0;Not that I see.  No email either   But for social stuff (Digg, FF, FB, Twitter, IM, etc.) it works great!
147277;0;@stamfordthelion Chelsea TV email for Guus tonight doesn't work and no-ones answering the phone  how do I ask a question!
147393;0;@Jaquline It has been a hellish couple of weeks... so besides work and my next cell phone I have nothing. 
147410;0;i don't mean to complain AGAIN but i really would like our email system to work - i have a mailout which needs to go out! 
150158;0;@marvelvscapcom doesn't seem like I can use the code for PSN at their website. I'm at work so I don't have access to my console. 
150691;0;ugh. taking my phone into tbaytel tomorrow. my calls aren't working 
151578;0;@PsychoPiloter They did indeed. I visited it. It's very nice. It has a drawback: no PC downloads. You must download it over network data. 
152687;0;Is going to follow Mle on her phone now. I missed so much while schooling/ working. 
152830;0;@tcfodor Hmm... That would be nice if my iphone is working. I broke my iphone and can't repair it till I go back to Shanghai 
152849;0;I pretty much got rid of the pictures on my website to hopefully help lower the cost of bandwidth.  We'll see if that works 
152941;0;I'm trying to email large files to someone, not working so well 
153003;0;internets not working at home...tried to sleep at liek 11:30 and then the light went out. 
154045;0;home from school.. why wont my email open ?  not going to twitter till late tonight. to much work to do xx
154838;0;UGH! Windows 7 did not work. But this time was taking the p*ss, had to reinstall Vista. Luckily I backed up, but lost all Firefox data! 
154964;0;Omw to work phone still broken  should be interesting
156044;0;Sadly missed the #jonaswebcast AGAIN was working 
156359;0;@plehotay And it doesn't in Firefox   I have faith the encoding troubles will get worked out later.
157582;0;@thattalldude  Video card is PCI-E 2.0, PCI-E port in the computer is apparently 1.0. Yet the card fits in the slot, just doesn't work.
157644;0;im dying!!! twitterfon is not working on my phone  nooooooooooo
158345;0;The internet only works plugged in in my room right now.  Going to bed though, right after I found out. 
158863;0;@aplusk  I miss webvan. We used to use them all the time and then they went out of business around the SF Bay area. 
159124;0;the internet connection here sucks... can't work!!! 
159212;0;Mom said no to the doves. Coworker is going to let them loose. Aaahhh!  I want them! I even have a picture of them on my cellphone.
159255;0;@ViralAgent Chuh. I wish. On the work PCs. At home I use my trusty widget. It is times like these I miss my MacBook 
159994;0;Did a little work on the web site, much less than I had hoped.Lots of interruptions   best laid plans of mice and men.More work tomorrow.
160154;0;New work wellness challenge not going well.  I committed to not check email between 10 pm and 6 am.  Failed on first day.  Twice 
160566;0;#liesgirlstell  a guy calls her phone to see if the number is real ) ohh my phone isn't working . try tomorrow .
160599;0;@prime8507 PC I agree...  We have a problem. We must stop spending and only work!!!
160998;0;I signed up for an account on a political website so I could post a comment but it isn't working. 
161260;0;Again working on the internet shop ... don't think we will achieve the goal of uploading by the previously set time   Will keep going
161576;0;Google Wave looks cool. I should be working for these guys, I came up with some of these ideas years ago.  http://tinyurl.com/m77gp7
